,time[frames],multi_alignedByIntensity_intensity_mean,multi_alignedByIntensity_intensity_std,multi_alignedByIntensity_intensity_mean_normalized,multi_alignedByIntensity_intensity_std_normalized,multi_alignedByIntensity_distance_mean,multi_alignedByIntensity_distance_std,multi_alignedByIntensity_distance_mean_normalized,multi_alignedByIntensity_distance_std_normalized
547,14.616999999999999,5.5193,1.2735609802701504,0.8502410348786815,0.19619042375772303,106.75072366586959,27.061943048552973,0.24709149472901498,0.06263916279451257
548,14.928,6.221006666666667,1.3186934465683158,0.9583380403771934,0.20314302188646752,103.4328908508461,19.504928458730493,0.23941184403089763,0.04514725298289584
549,15.239,5.414933333333334,1.6472205617207292,0.8341634847050173,0.25375219956713274,114.2842823924545,23.777293779218805,0.2645291122219616,0.055036320680198786
550,15.55,5.100113333333334,1.170848983724583,0.7856658704060109,0.18036777337862447,129.78246530411943,39.330334748484255,0.30040211663562,0.09103630277592768
551,15.861,5.34947,1.1499851288603693,0.824078942773986,0.1771537234898147,153.84681666828794,59.399148187905375,0.35610287766153986,0.13748875705347888
552,16.172,5.186353333333333,1.3760460891586765,0.798951030996654,0.2119781223863598,147.5397435830147,53.39423891729734,0.34150415586848504,0.12358944137267054
553,16.483,4.4593066666666665,1.6787516474915387,0.6869504312336837,0.25860952259661507,157.15333960549899,64.17500152949526,0.36375634985221567,0.14854322769551068
554,16.794,5.759565,0.03255499999999989,0.8872535477417487,0.0050150556937429355,127.62825136721762,5.615488619503168,0.2954158465349956,0.012997939770130435
555,17.105,5.252795,0.2996049999999997,0.8091862839138231,0.04615376320454172,148.408230604505,12.885384755921109,0.34351440693680074,0.029825268346325595
556,17.416,5.12087,0.25326000000000004,0.7888634080914597,0.039014375825444335,169.70069879973727,37.47778907186682,0.39279920438039934,0.08674829174827478
557,17.727,5.233935000000001,0.05232500000000018,0.8062809252781608,0.008060598653819716,154.10063378682608,53.44530424878189,0.35669037767141054,0.12370764018811692
558,18.038,4.508149999999999,0.3061800000000008,0.6944746836353028,0.04716663346061192,164.27829593533517,45.616577392826436,0.38024819223942613,0.10558680920698056
559,18.349,3.79535,0.3114300000000003,0.5846687644677412,0.047975389178386396,168.47660503445272,81.24393883283943,0.38996584505724063,0.18805199247841026
560,18.66,3.7775,0.016790000000000083,0.5819189950273077,0.0025864778097971,176.46476754084912,51.52593758429931,0.4084557151589347,0.11926496137739073
561,18.971,3.7183800000000002,0.33416000000000023,0.5728116354016256,0.051476916314579825,170.12961360935975,37.063321983335626,0.393791995789971,0.08578894188249116
562,19.282,3.61869,0.5452900000000003,0.5574545196863979,0.08400122006576857,171.13919788621712,35.48095793809074,0.39612883885254735,0.08212630912724346
563,19.593,3.018135,0.17220499999999994,0.46493979776485594,0.026527957786545993,160.09080442479876,25.246630858302098,0.370555578447485,0.05843733458121774
